,Temperature (K),Pb,Sn,Ge,Te,Se,S,PbTe,PbSe,PbS,SnTe,SnSe,SnS,GeTe,GeSe,GeS,Number_of_Configs,Hmix (meV/fu),Free Energy (meV/fu),Uncertainty (meV/fu),Smix_HT,Vegards E_hull,var_vol_norm,Hmix_unk (meV/fu)
38,600,0,1,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0,36,97.25214876,61.66030283,2.532668019,0.059730801,36.300526,0.016063266,60.95162276
39,600,0,0.5,0.5,0.333333333,0.333333333,0.333333333,0,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,35,79.45824073,-12.71993772,1.775746148,0.15440188,39.89946433,0.016321532,39.5587764
40,600,1,0,0,0.333333333,0.083333333,0.583333333,0.333333333,0.083333333,0.583333333,0,0,0,0,0,0,49,68.18674315,22.57430098,1.832352114,0.076495572,0,0.015331208,68.18674315
41,600,1,0,0,0.333333333,0.666666667,0,0.333333333,0.666666667,0,0,0,0,0,0,0,50,28.54546491,-4.301580757,0.983646706,0.054850545,0,0.006289038,28.54546491
42,600,0,1,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,50,56.68989026,20.87382078,0.545944557,0.059730801,38.872314,0.00240721,17.81757626
43,600,0.333333333,0.333333333,0.333333333,0.5,0.5,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0,48,53.69397992,-38.64459248,1.368459615,0.15440188,9.827667,0.013726869,43.86631292
44,600,0,1,0,0.333333333,0.333333333,0.333333333,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,48,70.72041157,14.17066496,1.696954593,0.094671079,25.914876,0.011280803,44.80553557
45,600,0.5,0.5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,0,50,10.79048539,-25.03733285,0.377694927,0.059730801,0,0.001329725,10.79048539
46,600,1,0,0,0.25,0.75,0,0.25,0.75,0,0,0,0,0,0,0,50,24.92683827,-4.094594931,0.977263208,0.048458292,0,0.005458345,24.92683827
47,600,0,0.5,0.5,1,0,0,0,0,0,0.5,0,0,0.5,0,0,50,32.3869498,-3.320125924,1.464086247,0.059730801,16.920229,0.005698582,15.4667208
48,600,1,0,0,0.666666667,0.333333333,0,0.666666667,0.333333333,0,0,0,0,0,0,0,50,27.01212641,-5.821650978,1.109122829,0.054850545,0,0.005638894,27.01212641
49,600,1,0,0,0.75,0.25,0,0.75,0.25,0,0,0,0,0,0,0,50,24.61327787,-4.413795658,0.909903276,0.048458292,0,0.004633971,24.61327787
50,600,1,0,0,0.916666667,0.083333333,0,0.916666667,0.083333333,0,0,0,0,0,0,0,50,11.67477762,-3.15185209,0.356568463,0.024717612,0,0.001792739,11.67477762
51,600,1,0,0,0.666666667,0.166666667,0.166666667,0.666666667,0.166666667,0.166666667,0,0,0,0,0,0,50,44.83811527,0.085668935,1.129732753,0.074760812,0,0.009761114,44.83811527
52,600,0.333333333,0.333333333,0.333333333,1,0,0,0.333333333,0,0,0.333333333,0,0,0.333333333,0,0,49,44.05239019,-12.59184457,1.471833313,0.094671079,11.28015267,0.008370754,32.77223753
53,600,1,0,0,0.416666667,0.416666667,0.166666667,0.416666667,0.416666667,0.166666667,0,0,0,0,0,0,50,44.4999336,-8.492880215,1.240857598,0.088602027,0,0.009969838,44.4999336
54,600,1,0,0,0.583333333,0.083333333,0.333333333,0.583333333,0.083333333,0.333333333,0,0,0,0,0,0,48,63.18885677,17.47609772,1.415082982,0.076495572,0,0.01388213,63.18885677
55,600,1,0,0,0,0.75,0.25,0,0.75,0.25,0,0,0,0,0,0,50,12.29617168,-16.7733535,0.298902514,0.048458292,0,0.001666991,12.29617168
56,600,1,0,0,0.083333333,0.083333333,0.833333333,0.083333333,0.083333333,0.833333333,0,0,0,0,0,0,50,32.69801081,3.491345853,1.038278529,0.048781493,0,0.006687628,32.69801081
57,600,1,0,0,0.416666667,0.583333333,0,0.416666667,0.583333333,0,0,0,0,0,0,0,50,32.06331003,-2.95897137,1.144656697,0.058528345,0,0.006689754,32.06331003
58,600,1,0,0,0.75,0,0.25,0.75,0,0.25,0,0,0,0,0,0,50,53.88296577,24.89487069,1.264008754,0.048458292,0,0.011109122,53.88296577
59,600,0,0.5,0.5,0.5,0.5,0,0,0,0,0.25,0.25,0,0.25,0.25,0,50,42.46686662,-28.97656276,1.344623819,0.119461601,14.7415005,0.01084389,27.72536612
60,600,0.5,0.5,0,0.5,0.5,0,0.25,0.25,0,0.25,0.25,0,0,0,0,50,36.63584086,-34.85984392,1.098837108,0.119461601,1.285894,0.007639402,35.34994686
61,600,1,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,50,32.53296489,-3.214578331,1.120261386,0.059730801,0,0.006694504,32.53296489
